排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
259,Intel Core i7 10700,176,8,16,2.9GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i7-10700
260,Intel Core Ultra 5 135U,176,12,14,1.6GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-5-135u
261,AMD Ryzen 7 4700G,174,8,16,3.6GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-7-4700g
262,Intel Core i9 11900H,174,8,16,2.1-2.5GHz,2021.05,https://www.topcpu.net/cpu/intel-core-i9-11900h
263,Intel Core i7 10700KF,173,8,16,3.8GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i7-10700kf
264,AMD Ryzen 7 6800HS,173,8,16,3.2GHz,2022.01,https://www.topcpu.net/cpu/amd-ryzen-7-6800hs
265,Intel Xeon E5-2673 v3,173,12,24,2.4GHz,2014.09,https://www.topcpu.net/cpu/intel-xeon-e5-2673-v3
266,Intel Core i5 11400,173,6,12,2.6GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i5-11400
267,AMD Ryzen 9 5900HS,172,8,16,3.0GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-9-5900hs
268,AMD Ryzen 5 5600G,172,6,12,3.9GHz,2021.04,https://www.topcpu.net/cpu/amd-ryzen-5-5600g
269,Intel Core i5 13490F,171,10,16,2.5GHz,2023.02,https://www.topcpu.net/cpu/intel-core-i5-13490f
270,AMD Ryzen 7 8840U,171,8,16,3.3GHz,2023.12,https://www.topcpu.net/cpu/amd-ryzen-7-8840u
271,Intel Core i5 12450HX,171,8,12,2.4GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i5-12450hx
272,Intel Xeon E5-2680 v3,170,12,24,2.5GHz,2014.09,https://www.topcpu.net/cpu/intel-xeon-e5-2680-v3
273,AMD Ryzen 7 4800HS,170,8,16,2.9GHz,2020.03,https://www.topcpu.net/cpu/amd-ryzen-7-4800hs
274,Intel Xeon E-2386G,170,6,12,3.5GHz,2021.09,https://www.topcpu.net/cpu/intel-xeon-e-2386g
275,Intel Core i7 10700F,169,8,16,2.9GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i7-10700f
276,Apple M3,168,8,8,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3
277,AMD Ryzen 5 7640HS,167,6,12,4.3GHz,2023.04,https://www.topcpu.net/cpu/amd-ryzen-5-7640hs
278,AMD Ryzen 5 5500,166,6,12,3.6GHz,2022.03,https://www.topcpu.net/cpu/amd-ryzen-5-5500
279,AMD Ryzen 7 PRO 8840U,165,8,16,3.3GHz,2024.04,https://www.topcpu.net/cpu/amd-ryzen-7-pro-8840u
280,AMD Ryzen 5 5500GT,164,6,12,3.6GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-5-5500gt
281,Intel Xeon W-2140B,163,8,16,3.2GHz,2017.12,https://www.topcpu.net/cpu/intel-xeon-w-2140b
282,AMD EPYC 7252,161,8,16,3.1GHz,2019.08,https://www.topcpu.net/cpu/amd-epyc-7252
283,Intel Xeon E5-2687W v3,161,10,20,3.1GHz,2014.09,https://www.topcpu.net/cpu/intel-xeon-e5-2687w-v3
