排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
523,Intel Core i5 11600,2137,6,12,2.8GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i5-11600
524,AMD Ryzen 7 PRO 5845,2137,8,16,3.4GHz,2022.04,https://www.topcpu.net/cpu/amd-ryzen-7-pro-5845
525,AMD Ryzen 3 Pro 8300G,2137,4,8,3.4GHz,2024.04,https://www.topcpu.net/cpu/amd-ryzen-3-pro-8300g
526,Intel Xeon Gold 6448Y,2136,32,64,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-gold-6448y
527,Intel Xeon Gold 6434,2135,8,16,3.7GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-gold-6434
528,Intel Xeon w5-3525,2135,16,32,3.2GHz,2024.08,https://www.topcpu.net/cpu/xeon-w5-3525
529,Intel Core 7 250U,2132,10,12,1.9GHz,2024.10,https://www.topcpu.net/cpu/intel-core-7-250u
530,Intel Core i3 12100TE,2131,4,8,2.1GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i3-12100te
531,Intel Xeon W-11955M,2130,8,16,2.1GHz,2021.05,https://www.topcpu.net/cpu/intel-xeon-w-11955m
532,AMD Ryzen AI 5 330,2130,4,8,2GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-ai-5-330
533,Intel Xeon w7-3465X,2125,28,56,2.5GHz,2023.02,https://www.topcpu.net/cpu/intel-xeon-w7-3465x
534,Intel Core i5 1235U,2123,10,12,1.3GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i5-1235u
535,Intel Xeon E-2324G,2123,4,4,3.1GHz,2021.09,https://www.topcpu.net/cpu/intel-xeon-e-2324g
536,AMD Ryzen 7 7735HS,2121,8,16,3.2GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7735hs
537,Qualcomm Snapdragon X X1 26 100,2121,8,8,2.98GHz,2025.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-x1-26-100
538,Intel Xeon w5-2545,2120,12,24,3.5GHz,2024.08,https://www.topcpu.net/cpu/xeon-w5-2545
539,AMD EPYC 9474F,2117,48,96,3.6GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9474f
540,Intel Core i7 11700,2116,8,16,2.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i7-11700
541,AMD Ryzen 7 5800X3D,2112,8,16,3.4GHz,2022.03,https://www.topcpu.net/cpu/amd-ryzen-7-5800x3d
542,Intel Core i7 1250U,2112,10,12,1.1GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i7-1250u
543,Intel Xeon w7-3445,2112,20,40,2.5GHz,2023.02,https://www.topcpu.net/cpu/intel-xeon-w7-3445
544,Intel Core Ultra 5 135U,2111,12,14,1.6GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-5-135u
545,Intel Core Ultra 5 125U,2111,12,14,1.3GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-5-125u
546,Intel Xeon w7-2475X,2110,20,40,2.6GHz,2023.02,https://www.topcpu.net/cpu/intel-xeon-w7-2475x
547,AMD EPYC 9965,2110,192,384,2.25GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9965
548,Intel Core i9 11900H,2106,8,16,2.1-2.5GHz,2021.05,https://www.topcpu.net/cpu/intel-core-i9-11900h
549,Intel Xeon Gold 6421N,2104,32,64,1.8GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-gold-6421n
550,Intel Core i3 1220P,2102,10,12,1.5GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i3-1220p
551,Intel Xeon Platinum 8571N,2102,52,104,2.4GHz,2023.12,https://www.topcpu.net/cpu/intel-xeon-platinum-8571n
552,AMD Ryzen 5 5600T,2100,6,12,3.5GHz,2024.10,https://www.topcpu.net/cpu/amd-ryzen-5-5600t
553,AMD Ryzen 9 6900HX,2097,8,16,3.3GHz,2022.01,https://www.topcpu.net/cpu/amd-ryzen-9-6900hx
554,AMD EPYC 9684X,2097,96,192,2.55GHz,2023.06,https://www.topcpu.net/cpu/amd-epyc-9684x
555,Intel Core i5 12450H,2093,8,12,2GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12450h
556,Intel Xeon w7-2495X,2091,24,48,2.5GHz,2023.02,https://www.topcpu.net/cpu/intel-xeon-w7-2495x
557,Intel Core i5 1334U,2089,10,12,1.3GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-1334u
558,Intel Core i5 1340P,2087,12,16,1.9GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-1340p
559,AMD EPYC 9534,2087,64,128,2.45GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9534
560,AMD Ryzen Threadripper PRO 5965WX,2086,24,48,3.8GHz,2022.03,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-5965wx
