排名,名称,跑分,规格,上市时间,详情页
31,Samsung Exynos 2400e,2099,10C @ 3110MHz  - 2024.09,2024.09,https://www.topcpu.net/cpu/samsung-exynos-2400e
32,MediaTek Dimensity 9200 Plus,2093,8C @ 3350MHz  - 2023.05,2023.05,https://www.topcpu.net/cpu/mediatek-dimensity-9200-plus
33,Apple A14 Bionic,2087,6C @ 3100MHz  - 2020.09,2020.09,https://www.topcpu.net/cpu/apple-a14-bionic
34,Qualcomm Snapdragon 8s Gen 3,2019,8C @ 3000MHz  - 2024.03,2024.03,https://www.topcpu.net/cpu/qualcomm-snapdragon-8s-gen-3
35,Google Tensor G4,2005,8C @ 3100MHz  - 2024.08,2024.08,https://www.topcpu.net/cpu/google-tensor-g4
36,Qualcomm Snapdragon 8 Gen 2,2004,8C @ 3200MHz  - 2022.11,2022.11,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-gen-2
37,MediaTek Dimensity 9200,1949,8C @ 3050MHz  - 2022.11,2022.11,https://www.topcpu.net/cpu/mediatek-dimensity-9200
38,Qualcomm Snapdragon 7 Plus Gen 3,1913,8C @ 2800MHz  - 2024.03,2024.03,https://www.topcpu.net/cpu/qualcomm-snapdragon-7-plus-gen-3
39,Google Tensor G3,1767,9C @ 2910MHz  - 2023.10,2023.10,https://www.topcpu.net/cpu/google-tensor-g3
40,MediaTek Dimensity 8550,1761,8C @ 3400MHz  - 2026.05,2026.05,https://www.topcpu.net/cpu/mediatek-dimensity-8550
41,Apple A13 Bionic,1748,6C @ 2650MHz  - 2019.09,2019.09,https://www.topcpu.net/cpu/apple-a13-bionic
42,MediaTek Dimensity 8500,1728,8C @ 3400MHz  - 2026.01,2026.01,https://www.topcpu.net/cpu/mediatek-dimensity-8500
43,Qualcomm Snapdragon 7 Plus Gen 2,1699,8C @ 2910MHz  - 2023.03,2023.03,https://www.topcpu.net/cpu/qualcomm-snapdragon-7-plus-gen-2
44,HiSilicon Kirin 9030 Pro,1683,8C @ 2750MHz  - 2025.11,2025.11,https://www.topcpu.net/cpu/hisilicon-kirin-9030-pro
45,Qualcomm Snapdragon 8 Plus Gen 1,1665,8C @ 3200MHz  - 2022.05,2022.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-plus-gen-1
46,Qualcomm Snapdragon 8 Gen 1,1664,8C @ 3000MHz  - 2021.12,2021.12,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-gen-1
47,MediaTek Dimensity 9000 Plus,1654,8C @ 3200MHz  - 2022.07,2022.07,https://www.topcpu.net/cpu/mediatek-dimensity-9000-plus
48,MediaTek Dimensity 8450,1617,8C @ 3250MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/mediatek-dimensity-8450
49,HiSilicon Kirin 9020,1603,12C @ 2500MHz  - 2024.11,2024.11,https://www.topcpu.net/cpu/hisilicon-kirin-9020
50,MediaTek Dimensity 9000,1599,8C @ 3050MHz  - 2021.11,2021.11,https://www.topcpu.net/cpu/mediatek-dimensity-9000
51,Samsung Exynos 2200,1594,8C @ 2800MHz  - 2022.01,2022.01,https://www.topcpu.net/cpu/samsung-exynos-2200
52,MediaTek Dimensity 8400,1571,8C @ 3250MHz  - 2024.12,2024.12,https://www.topcpu.net/cpu/mediatek-dimensity-8400
53,MediaTek Dimensity 8300,1506,8C @ 3350MHz  - 2023.11,2023.11,https://www.topcpu.net/cpu/mediatek-dimensity-8300
54,Qualcomm Snapdragon 888,1481,8C @ 2840MHz  - 2020.12,2020.12,https://www.topcpu.net/cpu/qualcomm-snapdragon-888
55,Samsung Exynos 2100,1474,8C @ 2900MHz  - 2020.12,2020.12,https://www.topcpu.net/cpu/samsung-exynos-2100
56,Google Tensor G2,1439,8C @ 2850MHz  - 2022.10,2022.10,https://www.topcpu.net/cpu/google-tensor-g2
57,HiSilicon Kirin 9010,1410,8C @ 2300MHz  - 2024.04,2024.04,https://www.topcpu.net/cpu/hisilicon-kirin-9010
58,HiSilicon Kirin 9030S,1410,8C @ 3000MHz  - 2026.04,2026.04,https://www.topcpu.net/cpu/hisilicon-kirin-9030s
59,Samsung Exynos 1680,1389,8C @ 2900MHz  - 2026.03,2026.03,https://www.topcpu.net/cpu/samsung-exynos-1680
