排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
143,AMD Ryzen 5 7500F,114,6,12,3.7GHz,2023.07,https://www.topcpu.net/cpu/amd-ryzen-5-7500f
144,AMD Ryzen AI 9 HX 370,114,12,24,2.0GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-370
145,AMD Ryzen AI 9 365,114,10,20,2.0GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-ai-9-365
146,Apple M1,113,8,8,2.1GHz,2020.11,https://www.topcpu.net/cpu/apple-m1
147,Apple M1 Pro,113,10,10,2.0GHz,2021.10,https://www.topcpu.net/cpu/apple-m1-pro
148,AMD Ryzen Threadripper 7980X,113,64,128,3.2GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-7980x
149,Intel Core Ultra 5 226V,113,8,8,2.1GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-5-226v
150,AMD Ryzen 9 8945HX,113,16,32,2.5GHz,2025.04,https://www.topcpu.net/cpu/amd-ryzen-9-8945hx
151,AMD Ryzen 5 7400F,113,6,12,3.7GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-5-7400f
152,AMD Ryzen Z2 Extreme,113,8,16,2.0GHz,2025.06,https://www.topcpu.net/cpu/amd-ryzen-z2-extreme
153,AMD Ryzen AI 7 445,113,6,12,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-7-445
154,Intel Core i7 13850HX,112,20,28,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13850hx
155,Intel Core i5 13500,112,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500
156,Intel Core 7 240H,112,10,16,2.5GHz,2024.12,https://www.topcpu.net/cpu/intel-core-7-240h
157,AMD Ryzen 9 8940HX,112,16,32,2.4GHz,2025.04,https://www.topcpu.net/cpu/amd-ryzen-9-8940hx
158,AMD Ryzen AI 5 440,112,6,12,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-5-440
159,Apple M1 Max,111,10,10,3.2GHz,2021.10,https://www.topcpu.net/cpu/apple-m1-max
160,AMD Ryzen 9 7900,111,12,24,3.7GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900
161,AMD Ryzen 9 9850HX,111,12,24,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9850hx
162,Intel Core i7 13700T,110,16,24,1.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700t
163,AMD Ryzen AI 5 435,110,6,12,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-5-435
164,Qualcomm Snapdragon X Plus,109,10,10,3.4GHz,2024.04,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-plus
165,Qualcomm Snapdragon X Plus (X1P-42-100),109,8,8,3.2GHz,2024.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-plus-x1p-42-100
166,Intel Core Ultra 5 225H,109,14,14,1.7GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-225h
167,AMD Ryzen 7 7800X3D,108,8,16,4.4GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7800x3d
168,AMD Ryzen 5 8500G,108,6,12,3.5GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-5-8500g
