排名,名称,Cinebench_R23_多核跑分,核心数,线程数,频率,上市时间,详情页
467,Intel Core Ultra 5 135U,8654,12,14,1.6GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-5-135u
468,AMD Ryzen 7 Pro 5850U,8628,8,16,1.9GHz,2021.03,https://www.topcpu.net/cpu/amd-ryzen-7-pro-5850u
469,AMD Ryzen 7 4800U,8610,8,16,1.8GHz,2020.01,https://www.topcpu.net/cpu/amd-ryzen-7-4800u
470,Intel Core Ultra 5 325,8604,8,8,2.1GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-5-325
471,Intel Core i3 13100,8566,4,8,3.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i3-13100
472,Apple M2,8538,8,8,3.5GHz,2022.06,https://www.topcpu.net/cpu/apple-m2
473,Intel Core i7 9700,8524,8,8,3.0GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i7-9700
474,AMD Ryzen 5 7235HS,8523,4,8,3.2GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-5-7235hs
475,Intel Core i7 9700F,8461,8,8,3.0GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i7-9700f
476,Intel Core i3 12100F,8443,4,8,3.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i3-12100f
477,AMD Ryzen 5 7530U,8381,6,12,2.0GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-5-7530u
478,Intel Core i9 9980HK,8333,8,16,2.4GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i9-9980hk
479,Intel Core i3 12300,8249,4,8,3.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i3-12300
480,Intel Core i7 1255U,8233,10,12,1.7GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i7-1255u
481,AMD Ryzen 7 5800U,8141,8,16,1.9GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-7-5800u
482,Intel Core i5 10500,8137,6,12,3.1GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i5-10500
483,Intel Core i5 1345U,8124,10,12,1.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-1345u
484,AMD Ryzen 5 7430U,8124,6,12,2.3GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-5-7430u
485,AMD Ryzen 5 5625U,8061,6,12,2.3GHz,2022.01,https://www.topcpu.net/cpu/amd-ryzen-5-5625u
486,AMD Ryzen 7 1700,8046,8,16,3GHz,2017.03,https://www.topcpu.net/cpu/amd-ryzen-7-1700
487,Intel Core i7 1265U,8040,10,12,1.8GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i7-1265u
488,AMD Ryzen 5 4600U,8004,6,12,2.1GHz,2020.01,https://www.topcpu.net/cpu/amd-ryzen-5-4600u
489,Intel Core i3 12100,7985,4,8,3.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i3-12100
490,AMD Ryzen 7 2700E,7973,8,16,2.8GHz,2018.09,https://www.topcpu.net/cpu/amd-ryzen-7-2700e
491,Intel Core 5 220U,7902,10,12,1.4GHz,2025.01,https://www.topcpu.net/cpu/intel-core-5-220u
492,AMD Ryzen 5 4600H,7885,6,12,3.0GHz,2020.01,https://www.topcpu.net/cpu/amd-ryzen-5-4600h
493,Intel Core i5 10600T,7797,6,12,2.4GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i5-10600t
494,Apple M1,7782,8,8,2.1GHz,2020.11,https://www.topcpu.net/cpu/apple-m1
495,Intel Core Ultra 5 332,7705,6,6,2.5GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-5-332
496,Intel Core Ultra 5 322,7615,6,6,2.5GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-5-322
497,Intel Core i5 10400,7610,6,12,2.9GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i5-10400
498,Intel Core i5 10400F,7576,6,12,2.9GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i5-10400f
499,AMD Ryzen 5 5600U,7510,6,12,2.3GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-5-5600u
500,AMD Ryzen 5 2600X,7506,6,12,3.6GHz,2018.04,https://www.topcpu.net/cpu/amd-ryzen-5-2600x
501,Intel Core i3 1220P,7448,10,12,1.5GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i3-1220p
