排名,名称,跑分,规格,上市时间,详情页
35,Qualcomm Snapdragon 8 Gen 2,1534534,8C @ 3200MHz  - 2022.11,2022.11,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-gen-2
36,Qualcomm Snapdragon 8s Gen 3,1490645,8C @ 3000MHz  - 2024.03,2024.03,https://www.topcpu.net/cpu/qualcomm-snapdragon-8s-gen-3
37,Google Tensor G5,1445942,8C @ 3400MHz  - 2025.08,2025.08,https://www.topcpu.net/cpu/google-tensor-g5
38,Apple A16 Bionic,1441069,6C @ 3460MHz  - 2022.09,2022.09,https://www.topcpu.net/cpu/apple-a16-bionic
39,MediaTek Dimensity 8350,1431343,8C @ 3350MHz  - 2024.11,2024.11,https://www.topcpu.net/cpu/mediatek-dimensity-8350
40,Qualcomm Snapdragon 7 Plus Gen 3,1407086,8C @ 2800MHz  - 2024.03,2024.03,https://www.topcpu.net/cpu/qualcomm-snapdragon-7-plus-gen-3
41,Samsung Exynos 1680,1380978,8C @ 2900MHz  - 2026.03,2026.03,https://www.topcpu.net/cpu/samsung-exynos-1680
42,Apple A15 Bionic,1290037,6C @ 3230MHz  - 2021.09,2021.09,https://www.topcpu.net/cpu/apple-a15-bionic
43,HiSilicon Kirin 9020,1248520,12C @ 2500MHz  - 2024.11,2024.11,https://www.topcpu.net/cpu/hisilicon-kirin-9020
44,MediaTek Dimensity 9200,1215887,8C @ 3050MHz  - 2022.11,2022.11,https://www.topcpu.net/cpu/mediatek-dimensity-9200
45,MediaTek Dimensity 9000 Plus,1193511,8C @ 3200MHz  - 2022.07,2022.07,https://www.topcpu.net/cpu/mediatek-dimensity-9000-plus
46,Google Tensor G4,1176410,8C @ 3100MHz  - 2024.08,2024.08,https://www.topcpu.net/cpu/google-tensor-g4
47,Qualcomm Snapdragon 8 Gen 1,1118907,8C @ 3000MHz  - 2021.12,2021.12,https://www.topcpu.net/cpu/qualcomm-snapdragon-8-gen-1
48,Qualcomm Snapdragon 7 Plus Gen 2,1112797,8C @ 2910MHz  - 2023.03,2023.03,https://www.topcpu.net/cpu/qualcomm-snapdragon-7-plus-gen-2
49,MediaTek Dimensity 9000,1084030,8C @ 3050MHz  - 2021.11,2021.11,https://www.topcpu.net/cpu/mediatek-dimensity-9000
50,Apple A14 Bionic,1061696,6C @ 3100MHz  - 2020.09,2020.09,https://www.topcpu.net/cpu/apple-a14-bionic
51,Google Tensor G3,1016809,9C @ 2910MHz  - 2023.10,2023.10,https://www.topcpu.net/cpu/google-tensor-g3
52,HiSilicon Kirin 8020,968920,8C @ 2285MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/hisilicon-kirin-8020
53,HiSilicon Kirin 9010,956941,8C @ 2300MHz  - 2024.04,2024.04,https://www.topcpu.net/cpu/hisilicon-kirin-9010
54,Qualcomm Snapdragon 7 Gen 4,956920,8C @ 2800MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-7-gen-4
55,Google Tensor,930661,8C @ 2800MHz  - 2021.10,2021.10,https://www.topcpu.net/cpu/google-tensor
56,Samsung Exynos 2200,920435,8C @ 2800MHz  - 2022.01,2022.01,https://www.topcpu.net/cpu/samsung-exynos-2200
57,HiSilicon Kirin 9000,907784,8C @ 3130MHz  - 2020.10,2020.10,https://www.topcpu.net/cpu/hisilicon-kirin-9000
58,Google Tensor G2,907387,8C @ 2850MHz  - 2022.10,2022.10,https://www.topcpu.net/cpu/google-tensor-g2
59,HiSilicon Kirin 9000S,903932,8C @ 2620MHz  - 2023.08,2023.08,https://www.topcpu.net/cpu/hisilicon-kirin-9000s
60,MediaTek Dimensity 8200,903370,8C @ 3100MHz  - 2022.12,2022.12,https://www.topcpu.net/cpu/mediatek-dimensity-8200
61,Apple A13 Bionic,891274,6C @ 2650MHz  - 2019.09,2019.09,https://www.topcpu.net/cpu/apple-a13-bionic
62,Qualcomm Snapdragon 7s Gen 4,874745,8C @ 2700MHz  - 2025.08,2025.08,https://www.topcpu.net/cpu/qualcomm-snapdragon-7s-gen-4
63,Qualcomm Snapdragon 7 Gen 3,866863,8C @ 2630MHz  - 2023.11,2023.11,https://www.topcpu.net/cpu/qualcomm-snapdragon-7-gen-3
64,MediaTek Dimensity 8100,860129,8C @ 2850MHz  - 2022.03,2022.03,https://www.topcpu.net/cpu/mediatek-dimensity-8100
65,MediaTek Dimensity 7360,859863,8C @ 2500MHz  - 2025.09,2025.09,https://www.topcpu.net/cpu/mediatek-dimensity-7360
66,Samsung Exynos 1580,841545,8C @ 2900MHz  - 2024.10,2024.10,https://www.topcpu.net/cpu/samsung-exynos-1580
67,Qualcomm Snapdragon 888 Plus,836957,8C @ 2995MHz  - 2021.06,2021.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-888-plus
68,Qualcomm Snapdragon 870,810488,8C @ 3200MHz  - 2021.01,2021.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-870
69,Qualcomm Snapdragon 865 Plus,796278,8C @ 3100MHz  - 2020.07,2020.07,https://www.topcpu.net/cpu/qualcomm-snapdragon-865-plus
70,MediaTek Dimensity 1100,786669,8C @ 2600MHz  - 2021.01,2021.01,https://www.topcpu.net/cpu/mediatek-dimensity-1100
71,MediaTek Dimensity 7350,771491,8C @ 3000MHz  - 2024.07,2024.07,https://www.topcpu.net/cpu/mediatek-dimensity-7350
72,MediaTek Dimensity 1300,769022,8C @ 3000MHz  - 2022.03,2022.03,https://www.topcpu.net/cpu/mediatek-dimensity-1300
73,MediaTek Dimensity 8020,758585,8C @ 2600MHz  - 2023.04,2023.04,https://www.topcpu.net/cpu/mediatek-dimensity-8020
74,Qualcomm Snapdragon 7s Gen 3,750366,8C @ 2500MHz  - 2024.08,2024.08,https://www.topcpu.net/cpu/qualcomm-snapdragon-7s-gen-3
75,MediaTek Dimensity 7400,739074,8C @ 2600MHz  - 2025.02,2025.02,https://www.topcpu.net/cpu/mediatek-dimensity-7400
76,Qualcomm Snapdragon 865,738889,8C @ 2840MHz  - 2019.12,2019.12,https://www.topcpu.net/cpu/qualcomm-snapdragon-865
77,MediaTek Dimensity 7200 Ultra,730531,8C @ 2800MHz  - 2023.09,2023.09,https://www.topcpu.net/cpu/mediatek-dimensity-7200-ultra
78,Samsung Exynos 1480,723950,8C @ 2750MHz  - 2024.03,2024.03,https://www.topcpu.net/cpu/samsung-exynos-1480
79,MediaTek Dimensity 8050,723644,8C @ 3000MHz  - 2023.05,2023.05,https://www.topcpu.net/cpu/mediatek-dimensity-8050
80,HiSilicon Kirin 990,722641,8C @ 2860MHz  - 2019.10,2019.10,https://www.topcpu.net/cpu/hisilicon-kirin-990
81,MediaTek Dimensity 1200,722511,8C @ 3000MHz  - 2021.01,2021.01,https://www.topcpu.net/cpu/mediatek-dimensity-1200
82,MediaTek Dimensity 7200,713781,8C @ 2800MHz  - 2023.02,2023.02,https://www.topcpu.net/cpu/mediatek-dimensity-7200
83,Samsung Exynos 990,707030,8C @ 2730MHz  - 2019.10,2019.10,https://www.topcpu.net/cpu/samsung-exynos-990
84,HiSilicon Kirin 990 4G,695853,8C @ 2860MHz  - 2019.10,2019.10,https://www.topcpu.net/cpu/hisilicon-kirin-990-4g
