排名,名称,跑分,显存容量,显存类型,上市时间,详情页
135,NVIDIA GeForce GTX 960,46,2GB,GDDR5,2015.01,https://www.topcpu.net/cpu/geforce-gtx-960
136,NVIDIA T550 Mobile,46,4GB,GDDR6,2022.05,https://www.topcpu.net/cpu/t550-mobile
137,NVIDIA GeForce GTX 1050 Ti Max Q,45,4GB,GDDR5,2018.01,https://www.topcpu.net/cpu/geforce-gtx-1050-ti-max-q
138,NVIDIA GeForce GTX 950 Low Power,44,2GB,GDDR5,2016.03,https://www.topcpu.net/cpu/geforce-gtx-950-low-power
139,NVIDIA Quadro RTX 4000 Max Q,42,8GB,GDDR6,2019.05,https://www.topcpu.net/cpu/quadro-rtx-4000-max-q
140,NVIDIA GeForce GTX 680M,42,4GB,GDDR5,2012.06,https://www.topcpu.net/cpu/geforce-gtx-680m
141,NVIDIA Quadro M2200 Mobile,42,4GB,GDDR5,2017.01,https://www.topcpu.net/cpu/quadro-m2200-mobile
142,NVIDIA GeForce GTX 670,38,2GB,GDDR5,2012.05,https://www.topcpu.net/cpu/geforce-gtx-670
143,NVIDIA GeForce GTX 1050 Mobile 3 GB,38,3GB,GDDR5,2019.02,https://www.topcpu.net/cpu/geforce-gtx-1050-mobile-3-gb
144,NVIDIA GeForce GTX 770,38,2GB,GDDR5,2013.05,https://www.topcpu.net/cpu/geforce-gtx-770
145,NVIDIA GeForce GTX 1050 Max Q,37,4GB,GDDR5,2018.01,https://www.topcpu.net/cpu/geforce-gtx-1050-max-q
146,NVIDIA GeForce GTX 760 OEM,36,2GB,GDDR5,2016.11,https://www.topcpu.net/cpu/geforce-gtx-760-oem
147,NVIDIA GeForce GTX 750 Ti,36,2GB,GDDR5,2014.02,https://www.topcpu.net/cpu/geforce-gtx-750-ti
148,NVIDIA Quadro RTX 3000 Max Q,34,6GB,GDDR6,2019.05,https://www.topcpu.net/cpu/quadro-rtx-3000-max-q
149,NVIDIA Quadro M1200 Mobile,34,4GB,GDDR5,2017.01,https://www.topcpu.net/cpu/quadro-m1200-mobile
150,NVIDIA Quadro M2000M,34,4GB,GDDR5,2015.12,https://www.topcpu.net/cpu/quadro-m2000m
151,NVIDIA Quadro K2200,34,4GB,GDDR5,2014.07,https://www.topcpu.net/cpu/quadro-k2200
152,NVIDIA GeForce GTX 860M OEM,33,2GB,GDDR5,2015.02,https://www.topcpu.net/cpu/geforce-gtx-860m-oem
153,NVIDIA GeForce GTX 960M,32,4GB,GDDR5,2015.03,https://www.topcpu.net/cpu/geforce-gtx-960m
154,NVIDIA Quadro P1000,32,4GB,GDDR5,2017.02,https://www.topcpu.net/cpu/quadro-p1000
155,NVIDIA T400 4 GB,32,4GB,GDDR6,2021.05,https://www.topcpu.net/cpu/t400-4-gb
156,NVIDIA GeForce GTX 965M,32,2GB,GDDR5,2016.01,https://www.topcpu.net/cpu/geforce-gtx-965m
157,NVIDIA Quadro K4200,32,4GB,GDDR5,2014.07,https://www.topcpu.net/cpu/quadro-k4200
158,NVIDIA Quadro K5000,31,4GB,GDDR5,2012.08,https://www.topcpu.net/cpu/quadro-k5000
159,NVIDIA GeForce GTX 750 GM206,29,2GB,GDDR5,2015.11,https://www.topcpu.net/cpu/geforce-gtx-750-gm206
160,NVIDIA GeForce GTX 780M,29,4GB,GDDR5,2013.05,https://www.topcpu.net/cpu/geforce-gtx-780m
161,NVIDIA GeForce MX350,28,2GB,GDDR5,2020.02,https://www.topcpu.net/cpu/geforce-mx350
162,NVIDIA Quadro M2000,28,4GB,GDDR5,2016.04,https://www.topcpu.net/cpu/quadro-m2000
163,NVIDIA Quadro M620 Mobile,27,2GB,GDDR5,2017.01,https://www.topcpu.net/cpu/quadro-m620-mobile
164,NVIDIA GeForce GTX 950M,27,4GB,,2015.03,https://www.topcpu.net/cpu/geforce-gtx-950m
165,NVIDIA GeForce GTX 660,27,2GB,GDDR5,2012.09,https://www.topcpu.net/cpu/geforce-gtx-660
166,NVIDIA Quadro M1000M,26,2GB,GDDR5,2015.08,https://www.topcpu.net/cpu/quadro-m1000m
167,NVIDIA Quadro P620,25,2GB,GDDR5,2018.02,https://www.topcpu.net/cpu/quadro-p620
168,NVIDIA Quadro P600,23,2GB,GDDR5,2017.02,https://www.topcpu.net/cpu/quadro-p600
169,NVIDIA GeForce GTX 650 Ti Boost,23,2GB,GDDR5,2013.03,https://www.topcpu.net/cpu/geforce-gtx-650-ti-boost
170,NVIDIA GeForce GTX 850M,22,2GB,,2014.03,https://www.topcpu.net/cpu/geforce-gtx-850m
171,NVIDIA GeForce MX250,22,2GB,GDDR5,,https://www.topcpu.net/cpu/geforce-mx250
172,NVIDIA GeForce GTX 660 Ti,21,2GB,GDDR5,2012.08,https://www.topcpu.net/cpu/geforce-gtx-660-ti
173,NVIDIA Quadro K4000M,20,4GB,GDDR5,2012.06,https://www.topcpu.net/cpu/quadro-k4000m
174,NVIDIA GeForce GT 1030 DDR4,19,2GB,,2018.03,https://www.topcpu.net/cpu/geforce-gt-1030-ddr4
175,NVIDIA Quadro P520 Mobile,19,2GB,GDDR5,2019.05,https://www.topcpu.net/cpu/quadro-p520-mobile
176,NVIDIA GeForce MX130,19,2GB,GDDR5,2017.11,https://www.topcpu.net/cpu/geforce-mx130
177,NVIDIA Quadro M520 Mobile,19,2GB,GDDR5,2017.01,https://www.topcpu.net/cpu/quadro-m520-mobile
178,NVIDIA Quadro K620M,18,2GB,,2015.03,https://www.topcpu.net/cpu/quadro-k620m
179,NVIDIA GeForce GTX 745 OEM,16,4GB,,2014.02,https://www.topcpu.net/cpu/geforce-gtx-745-oem
180,NVIDIA GeForce GTX 650 Ti,16,,GDDR5,2012.10,https://www.topcpu.net/cpu/geforce-gtx-650-ti
181,NVIDIA GeForce GT 1010,16,2GB,GDDR5,2021.01,https://www.topcpu.net/cpu/geforce-gt-1010
182,NVIDIA GeForce MX110,14,2GB,GDDR5,2017.11,https://www.topcpu.net/cpu/geforce-mx110
183,NVIDIA GeForce GTX 650,13,,GDDR5,2012.09,https://www.topcpu.net/cpu/geforce-gtx-650
184,NVIDIA GeForce GT 740 OEM,13,,GDDR5,2015.04,https://www.topcpu.net/cpu/geforce-gt-740-oem
185,NVIDIA GeForce MX230,13,2GB,GDDR5,2019.02,https://www.topcpu.net/cpu/geforce-mx230
186,NVIDIA GeForce GT 730 OEM,12,,GDDR5,2015.04,https://www.topcpu.net/cpu/geforce-gt-730-oem
187,NVIDIA Quadro K2000M,12,2GB,,2012.06,https://www.topcpu.net/cpu/quadro-k2000m
188,NVIDIA GeForce 930MX,11,2GB,,2016.03,https://www.topcpu.net/cpu/geforce-930mx
189,NVIDIA GeForce GTX 1080 Max Q,10,8GB,GDDR5X,2017.06,https://www.topcpu.net/cpu/geforce-gtx-1080-max-q
190,NVIDIA GeForce 920MX,10,2GB,,2016.03,https://www.topcpu.net/cpu/geforce-920mx
191,NVIDIA Quadro P400,9,2GB,GDDR5,2017.02,https://www.topcpu.net/cpu/quadro-p400
192,NVIDIA GeForce GT 640,8,2GB,,2012.06,https://www.topcpu.net/cpu/geforce-gt-640
193,NVIDIA GeForce GT 710,6,,,2016.01,https://www.topcpu.net/cpu/geforce-gt-710
194,NVIDIA NVS 510,5,2GB,,2012.10,https://www.topcpu.net/cpu/nvs-510
195,NVIDIA GeForce 940MX,4,2GB,,2016.01,https://www.topcpu.net/cpu/geforce-940mx
